Sample_Name,Target_Name,Ct_Mean,Quantity_Mean,Colony,Tissue,Batch,ControlGene,Sample_Name,GeoMean,NorValue
Sample 20,IR25A,28.227,0.197,A,P_AT,Group1,Act2_GapDH_ppil2,Sample 20,1.184676085,0.16629018
Sample 21,IR25A,28.091,0.209,A,P_AT,Group1,Act2_GapDH_ppil2,Sample 21,1.179360145,0.177214739
Sample 22,IR25A,28.58,0.161,A,P_AT,Group2,Act2_GapDH_ppil2,Sample 22,2.537630336,0.063445017
Sample 23,IR25A,28.683,0.153,A,P_AT,Group2,Act2_GapDH_ppil2,Sample 23,2.185080464,0.070020305
Sample 24,IR25A,28.331,0.184,A,P_AT,Group2,Act2_GapDH_ppil2,Sample 24,2.702518419,0.068084642
Sample 25,IR25A,27.734,0.256,B,P_AT,Group1,Act2_GapDH_ppil2,Sample 25,1.25304617,0.204302129
Sample 26,IR25A,27.509,0.286,B,P_AT,Group1,Act2_GapDH_ppil2,Sample 26,1.442715247,0.198237317
Sample 27,IR25A,27.858,0.241,B,P_AT,Group1,Act2_GapDH_ppil2,Sample 27,1.343477368,0.179385232
Sample 28,IR25A,27.92,0.229,B,P_AT,Group2,Act2_GapDH_ppil2,Sample 28,2.938188885,0.077939169
Sample 29,IR25A,28.397,0.177,B,P_AT,Group2,Act2_GapDH_ppil2,Sample 29,2.394883398,0.073907565
Sample 30,IR25A,27.861,0.237,B,P_AT,Group2,Act2_GapDH_ppil2,Sample 30,3.491708482,0.067875082
Sample 31,IR25A,28.054,0.218,C,P_AT,Group1,Act2_GapDH_ppil2,Sample 31,1.140536553,0.191138109
Sample 32,IR25A,27.803,0.245,C,P_AT,Group1,Act2_GapDH_ppil2,Sample 32,1.166524843,0.210025531
Sample 33,IR25A,28.428,0.178,C,P_AT,Group1,Act2_GapDH_ppil2,Sample 33,1.00066804,0.177881168
Sample 34,IR25A,28.334,0.185,C,P_AT,Group2,Act2_GapDH_ppil2,Sample 34,1.951525611,0.094797629
Sample 35,IR25A,27.914,0.232,C,P_AT,Group2,Act2_GapDH_ppil2,Sample 35,2.733210789,0.084881854
Sample 36,IR25A,27.44,0.298,C,P_AT,Group2,Act2_GapDH_ppil2,Sample 36,3.383903028,0.088063989
Sample 37,IR25A,28.067,0.215,A,A_AT,Group1,Act2_GapDH_ppil2,Sample 37,1.661357785,0.12941222
Sample 38,IR25A,29.182,0.117,A,A_AT,Group1,Act2_GapDH_ppil2,Sample 38,0.858799854,0.136236632
Sample 39,IR25A,29.219,0.115,A,A_AT,Group1,Act2_GapDH_ppil2,Sample 39,0.988505533,0.116337235
Sample 40,IR25A,28.7,0.151,A,A_AT,Group2,Act2_GapDH_ppil2,Sample 40,3.462871649,0.043605428
Sample 41,IR25A,28.651,0.155,A,A_AT,Group2,Act2_GapDH_ppil2,Sample 41,3.646833512,0.042502626
Sample 42,IR25A,27.772,0.248,A,A_AT,Group2,Act2_GapDH_ppil2,Sample 42,2.745567165,0.090327421
Sample 43,IR25A,28.981,0.131,B,A_AT,Group1,Act2_GapDH_ppil2,Sample 43,0.794138685,0.164958593
Sample 44,IR25A,28.593,0.16,B,A_AT,Group1,Act2_GapDH_ppil2,Sample 44,1.006588661,0.158952714
Sample 45,IR25A,28.159,0.21,B,A_AT,Group1,Act2_GapDH_ppil2,Sample 45,1.115856434,0.188196253
Sample 46,IR25A,27.741,0.253,B,A_AT,Group2,Act2_GapDH_ppil2,Sample 46,3.691950294,0.068527466
Sample 47,IR25A,27.853,0.239,B,A_AT,Group2,Act2_GapDH_ppil2,Sample 47,3.284399382,0.072768251
Sample 48,IR25A,27.897,0.232,B,A_AT,Group2,Act2_GapDH_ppil2,Sample 48,3.123563637,0.074274139
Sample 49,IR25A,27.736,0.253,C,A_AT,Group1,Act2_GapDH_ppil2,Sample 49,1.54866559,0.16336645
Sample 50,IR25A,29.303,0.109,C,A_AT,Group1,Act2_GapDH_ppil2,Sample 50,0.813185807,0.134040706
Sample 52,IR25A,28.155,0.202,C,A_AT,Group2,Act2_GapDH_ppil2,Sample 52,3.170646715,0.0637094
Sample 53,IR25A,28.149,0.203,C,A_AT,Group2,Act2_GapDH_ppil2,Sample 53,3.702307715,0.054830667
Sample 54,IR25A,27.843,0.239,C,A_AT,Group2,Act2_GapDH_ppil2,Sample 54,3.4214923,0.069852561
